FromID,ToID,Distance(km),Current Capacity(vehicles/hour),Condition(1-10)
1,3,8.5,3000,7
1,8,6.2,2500,6
1,12,12.7,2800,6
1,18,5.8,2200,7
1,F10,2.1,1800,8
1,F15,15.2,3500,9
2,3,5.9,2800,8
2,5,4.0,3200,9
2,4,15.2,3800,9
2,F1,9.2,3200,8
2,F6,3.8,3000,8
2,19,12.5,3500,9
3,5,6.1,3500,7
3,6,3.2,2000,8
3,9,4.5,2600,6
3,10,3.8,2400,7
3,F2,2.5,2000,7
3,F5,0.8,1500,9
3,F11,1.2,1800,8
3,F12,1.5,1600,7
3,17,2.8,2200,6
3,18,2.2,2000,7
3,F14,1.8,1900,7
4,2,15.2,3800,9
4,14,5.3,3000,10
4,F8,6.1,3000,9
4,19,8.2,3200,9
4,21,12.5,3500,10
5,11,7.9,3100,7
5,F1,7.5,3500,9
5,F6,2.5,3200,9
5,20,15.8,3800,10
5,22,10.2,3500,9
6,9,2.2,1800,8
6,F11,0.5,1200,9
6,F16,1.8,2000,8
6,10,1.5,1600,8
7,8,24.5,3500,8
7,15,9.8,3000,9
7,23,8.5,2800,8
7,F7,12.2,3200,9
7,24,15.8,3000,7
8,10,3.3,2200,7
8,12,14.8,2600,5
8,24,5.5,2500,7
8,25,8.2,2800,6
8,F20,3.8,2200,8
8,F15,8.5,3500,9
9,10,2.1,1900,7
9,16,3.5,2000,7
9,F3,2.8,1800,8
9,11,6.2,2500,6
10,11,8.7,2400,6
10,F3,1.2,1500,8
10,F16,2.5,2000,8
10,25,5.8,2200,7
11,F2,3.6,2200,7
11,16,4.2,2400,7
11,F13,5.5,2800,8
11,5,7.9,3100,7
12,F18,3.5,2200,8
12,F17,8.2,2600,6
12,18,8.5,2400,6
13,4,45.0,4000,10
13,14,35.5,3800,9
13,21,28.5,3600,10
14,13,35.5,3800,9
14,F8,8.5,3200,9
14,19,6.2,3000,9
14,22,12.5,3500,10
15,7,9.8,3000,9
15,F7,8.3,2800,8
15,23,12.5,3000,8
15,24,10.2,2800,7
16,9,3.5,2000,7
16,F3,4.2,1800,7
16,11,4.2,2400,7
16,17,5.5,2200,6
17,3,2.8,2200,6
17,16,5.5,2200,6
17,F12,1.8,1500,7
17,F19,2.2,1800,8
18,1,5.8,2200,7
18,3,2.2,2000,7
18,F14,2.5,1800,7
18,12,8.5,2400,6
18,F10,6.2,2200,7
19,2,12.5,3500,9
19,4,8.2,3200,9
19,14,6.2,3000,9
19,20,5.5,3200,10
19,22,4.8,3000,9
20,5,15.8,3800,10
20,19,5.5,3200,10
20,21,6.2,3500,10
20,22,3.5,3000,9
21,4,12.5,3500,10
21,13,28.5,3600,10
21,20,6.2,3500,10
22,5,10.2,3500,9
22,14,12.5,3500,10
22,19,4.8,3000,9
22,20,3.5,3000,9
23,7,8.5,2800,8
23,15,12.5,3000,8
23,24,8.2,2500,7
23,F7,15.5,3000,8
24,7,15.8,3000,7
24,8,5.5,2500,7
24,15,10.2,2800,7
24,23,8.2,2500,7
24,25,6.5,2200,7
25,8,8.2,2800,6
25,10,5.8,2200,7
25,24,6.5,2200,7
25,F3,4.5,1800,7
F1,5,7.5,3500,9
F1,2,9.2,3200,8
F1,20,18.5,3800,10
F2,3,2.5,2000,7
F2,11,3.6,2200,7
F2,F9,2.0,2000,8
F2,F4,1.5,1500,7
F3,9,2.8,1800,8
F3,10,1.2,1500,8
F3,16,4.2,1800,7
F3,25,4.5,1800,7
F4,3,1.8,1500,7
F4,F2,1.5,1500,7
F4,F12,0.8,1200,8
F5,3,0.8,1500,9
F5,F11,0.6,1200,9
F6,5,2.5,3200,9
F6,2,3.8,3000,8
F7,15,8.3,2800,8
F7,7,12.2,3200,9
F7,23,15.5,3000,8
F8,4,6.1,3000,9
F8,14,8.5,3200,9
F9,3,0.5,1500,8
F9,F2,2.0,2000,8
F10,1,2.1,1800,8
F10,18,6.2,2200,7
F11,3,1.2,1800,8
F11,6,0.5,1200,9
F11,F5,0.6,1200,9
F12,3,1.5,1600,7
F12,17,1.8,1500,7
F12,F4,0.8,1200,8
F12,F19,0.5,1000,9
F13,11,5.5,2800,8
F13,5,8.5,3000,8
F13,16,6.2,2500,7
F14,3,1.8,1900,7
F14,18,2.5,1800,7
F15,1,15.2,3500,9
F15,8,8.5,3500,9
F16,3,1.0,1800,8
F16,6,1.8,2000,8
F16,10,2.5,2000,8
F17,12,8.2,2600,6
F18,12,3.5,2200,8
F19,17,2.2,1800,8
F19,F12,0.5,1000,9
F20,8,3.8,2200,8
F20,24,5.5,2000,7
